n;corpus;index;date;year;sender;senderLocation;recipient;recipientLocation;languages;mainLanguage;text
642;Schmitz Livia;23;19/10/1910;1910;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA,ENG,UND;ITA;Alla moglie Murano  19.10.1910 Carissima Livia, Oggi sono senza tue lettere e non avendo tempo ti scrivo due righe. Di' a Olga che la ringrazio della sua lettera e che scriverò a Tchap. Il quale mi domanda di mandare alla moglie la fotografia di Letizia. Saresti ben gentile di mandargliela tu con due righi in cui ti congratuli della ricuperata salute. La settimana mi pare ben lunga oramai. Non obbligare Letizia di scrivermi se ha tanto da fare. Ricordati che arrivo sabato col treno che parte da qui alle 2/4. Naturalmente non telegraferei che nel caso in cui a quel  treno   dovessi  rinunziare. Ti  abbraccio  di  cuore. Ettore. 
643;Schmitz Livia;24;20/10/1910;1910;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA,ENG,UND;ITA;Alla moglie Murano, 20.10.1910 Carissima Livia, Ieri ti scrissi senza aver avuto alcuna tua notizia ed oggi ti debbo risposta a due tue. Mi dispiace sentire che Olga stia ancora male del braccio. Dovrebbe consultare qualcuno che ne sappia meglio di Fischer. Gilda è già incaricata degli acquisti per tuo conto. Non dubito che hai ricevuto più tardi la mia del 18. Ti scrissi come eravamo rimasti d'accordo. Si capisce che Joyce è tanto lontano dal Little Londoner quanto ne siamo noi stessi. Perciò — causa nostra e sua — non ci arriviamo. Non ho scritto ancora a Tchaperoff perché non ho tempo. Oggi ho un bel male di testa che però va diminuendo in seguito a una Giacomini. Questa notte l'ebbi tanto forte che mi destò. Forse è già il freddo che desola le lande aride della mia testa. Questa è l'ultima lettera che ti scrivo essendo oggi Zjoba (giovedì). Se possibile non disporre della mia domenica mattina perché vorrei andare a trovare Castelli. Se fa bel tempo telefona a Bianca Luzzatto.   A ben  rivederci,   cara  Livia.   Ti   abbraccio  di  cuore. Tuo Ettore. 
644;Schmitz Livia;25;29/11/1910;1910;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA;ITA;Alla moglie Murano, 29.11.1910 Carissima Livia, Come vedi, dopo tanti alterchi, abbiamo finito col dividerci e probabilmente (cioè se muoio prima di sabato) non ci vedremo più. Ad ogni modo ricordati che se ritorno ritorno col treno che parte da qui alle 2. Se avessi da partire  di  sera ti  telegraferei.   Questa mane per mancanza di operai avevo tempo e avrei potuto scriverti. Questa sera invece ho accanto a me Bortolo che anela di arrivare alla sua consorte e per mandarlo al diavolo (cioè dalla sua consorte) scrivo in fretta e cosi la lettera non rispecchia che in parte l'animo mio e quella anche poco esattamente. Sto bene e sono abbastanza sereno. Ho dormito come dormo sempre nella casa del sonno. Divertiti alla beneficenza italiana anche per   me. Non ho tempo di scrivere a Marco a cui vorrei domandare se ricorda esattamente la dose di colorante che ha messo nella fascia grigia. Nel libro ricette non è molto chiaro. Ti prego di   domandarglielo. Sto abituandomi a vivere solo. Fra freddo e «Comunale»  tu   a   Londra   non   ci   vieni.   Ti   abbraccio   di   cuore. Tuo   Ettore. Salutami la monachella (Letizia) che non ho salutata alla partenza. Saluti da Gilda e Tatalia (Italia De Luca). 
645;Schmitz Livia;26;30/11/1910;1910;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA;ITA;Alla    moglie Murano,   30.11.1910 Carissima Livia, Ho ricevuto la cara tua del 28 e mi fa grande piacere di sentire che Letizia verrà preparata almeno in parte all'esame d'ammissione della quarta. Intanto restiamo cosi e non ne parliamo altro. Noi non abbiamo malintesi anzi sappiamo ognuno quello che l'altro desidera. È meglio capire ch'è un dissidio e non un malinteso. È lo stesso dissidio che a momenti c'impediva di unirci. Siamo contenti ch'è il solo e che in tanti anni non vi si è aggiunto altro. Ma però bisogna tenerne conto. Io credo che la nostra famiglia — date le   nostre   condizioni    (o   meglio   le   mie)   —   è   abbastanza   cattolica e che di più non occorra. Naturalmente che se tu credessi non lo sia mai abbastanza io finirei col piegarmi, visto che l'educazione di una bambina è più affare della madre che del padre. Ma intimamente resterei sempre persuaso che hai commessa un'ingiustizia. Cosi aspettiamo che passi quest'anno da me liberamente concesso per farti piacere e poi vediamo  di ritornare all'ordine  antico  come era stato  stabilito. Ho avuto una giornata cattiva. La pioggia insistente m'ha ritardato il lavoro. Tuttavia farò del mio meglio per partire sabato alle due e non vedo l'ora d'essere a casa. Ho degli operai molto stupidi e mi tocca restare tutto il giorno in fabbrica. Anche il cattivo tempo qui è specialmente rattristante. Fa un buio pesto. Alle quattro comincio a lottare col gas della fabbrica che non va mai bene. Mi fecero grande piacere le tue frasi affettuose, anche più piacere del solito. Cosi è escluso che un dissidio simile non possa essere composto senza lasciare all'uno né all'altro traccie d'amarezza. A me dispiace che una volta di più faccio dispiacere a Letizia ma insomma è l'antica carica di padre la mia. M'auguro non me l'abbia a rimproverare di qui a 10 anni e non posso garantirlo. Le cose del mondo camminano troppo spesso alla rovescia. T'abbraccio di cuore cara Livia. Grazie al cielo è la penultima lettera che ti scrivo perché i miei saluti vengo a portarteli di persona. Tuo Ettore. 
646;Schmitz Livia;27;01/12/1910;1910;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA,UND;ITA;Alla moglie Murano,   1   Dicembre   1910 Carissima Livia, Oggi sono tuttavia senza tue lettere. E possibile m'arrivino questa sera ma non posso attenderla per scriverti ed è l'ultima lettera che ti scrivo per questa volta. Cosi sul nostro profondo dissidio parleremo al mio ritorno. Questa notte e anche l'altra ho dormito male. La « casa del sonno » s'è arrabbiata e mi tiene desto. Questa sera abbiamo compagnia. La signorina Tonon con la madre e lo sposo. Italia per l'occasione fece le jritole. Siamo dunque d'accordo  che  arrivo  alle  7  di sera  di  sabato.  Non ho  suonato, non ho scritto, non ho fatto niente. Vuol dire che la prossima settimana a  Trieste  andrà meglio. Arrivederci. Tuo Ettore. 
647;Schmitz Livia;28;19/12/1910;1910;Ettore Schmitz;Trieste;Livia Veneziani;Trieste;ITA;ITA;Alla   moglie Trieste,  [19.12.1910] Per la capra che spero addobbata con nastri e campanelle in occasione del compleanno del marito. 
648;Schmitz Livia;1;26/01/1911;1911;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA,UND;ITA;Alla moglie Murano,  26.1.1911 Carissima Livia, La storia di Gilda Moravia è alquanto differente di quanto noi tutti si era immaginato. Prima di tutto la lettera non aveva alcuna intenzione offensiva, non di freddezza e non di sconderiole. Data l'intenzione non poteva essere scritta peggio di cosi. Pare che in passato Gilda abbia avvisata Olga della sua intenzione di abbandonare la casa. Olga le rammentò in quell'occasione il suo obbligo di avvisare la casa un certo tempo prima. Gilda con quella lettera non ebbe altro pensiero che di corrispondere a tale obbligo. Mi disse che si riservava anzi di fare un viaggio a Trieste per prendere congedo da tutti. Ora non lo farà più perché è seccata dell'interpretazione che deste (diemmo, diedero) alla sua lettera. Insomma io credevo di trovare qui ire e rancori e invece non ci sono che batterie enormi di nervi con una non piccola dose di bestialità. In quanto al futuro di Gilda esso sta pur troppo esattamente come è detto nella lettera. O si sposano se da Sbarbaro o da altri risulta una posizione al signor Giuseppe oppure Gilda va a cercarsi un impiego in una qualunque città dell'universo che sarà destinata da lui — ma non con lui. Lui attenderà nel nuovo posto ai suoi doveri e Gilda ai propri vedendosi... come si vedono qui. Insomma l'abbandono dell'impiego da parte di Gilda è il pendant alla sua prima fuga dall'Egitto cioè da Trieste. Nel nuovo impiego lui forse troverà la sua via cioè la via al matrimonio, ella o la troverà o no ma avrà il vantaggio che si potrà vedere più liberamente con lui visto ch'egli rifiuta assolutamente  di  por piede   sui  nostri  possessi.   Il  bello  si  è   che  il signor Giuseppe è assolutamente contrario al passo fatto da Gilda. Gilda mi dice che egli non ama figurarsi ch'ella abbia da  stare  agli ordini  di  altri  che  non  sieno  suoi  congiunti. Ti scrivo tutto questo subito anziché attendere sabato tanto per essere fresco d'impressione quanto per farlo sapere ad Olga che vedeva nella lettera di Gilda quello che ci vedevamo tutti noi, una grande manifestazione d'indifferenza. E invece per quanto essa protesti uno sfogo di nervi. Mi auguro vivamente ch'essa non abbia a pentirsi di questo passo. Italia va con lei, ciò  che mi   fa piacere. Sto lavorando ma non credo di poter venire prima delle 11 di sera. Anzi calcola che prima delle 11 non arrivo. Se arrivassi alle sette ti telefonerei dal caffè « Alla Stazione ». Ara sul più bello rifiutò di prendere in consegna i libri per Bruno. Aveva infatti una valigia troppo piccola. Gli lasciai quel pezzo d'acciaio e mando i libri per posta. Spero che   avrai   scritto  a   Bruno  di   recarsi   all'Hotel   dal   portiere. Aspetto con impazienza il sabato. Saluta la piccola canaglia. Alla grande   un   abbraccio   di.   cuore   dal   tuo Ettore. 
649;Schmitz Livia;2;07/02/1911;1911;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA;ITA;Murano,  7.2.1911 Carissima Livia, Ieri, dopo il mio arrivo, ero quasi pentito di essere partito cosi di buon'ora perché trovai la fabbrica occupata dalla Dogana che imprendeva la denaturazione del benzolo arrivato sabato. Tuttavia, finii coll'avvantaggiarmi non poco.   Questa   notte,   poi,   ho   dormito   un   po'   più   di    10   ore e cosi siamo saldati. Trovai Gilda e Italia addolorate perché alla sorella del sig. Cappellotto capitò un'otite per cui occorse una pronta operazione nella casa di salute dello specialista che non garantisce neppur ora della vita della ragazza. Spese ingenti, poi, significantissime dato lo stato finanziario di quella famiglia. Questa sera sei sicuramente al «Comunale» tu canaglia mentre io, avendo scontato tutto il sonno che restava a mia disposizione, chissà cosa farò. Salutami Titina. Non vedo l'ora che passi questa settimana che promette  di  essere  lunga  anzichenò. Ti   abbraccio   di   cuore. Tuo Ettore. 
650;Schmitz Livia;3;08/02/1911;1911;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA;ITA;Alla moglie Murano,  8.2.1911 Carissima Livia, Ricevo la cara tua del 7. Spero che saprete indurre Olga di farsi vedere da un medico. Io chiamerei senz'altro Zencovich. Per le zanzare dovresti imprendere una buona lotta perché è cosa che non si può sopportare. Io direi di affumicare le stanze con moltissimi Zampironi e poi lasciare lungamente chiuse le stufe e aperte le finestre. Io penso d'arrivare anche questa volta sabato alle 11 di notte. Giacché sono qui è meglio che lavori fino in fondo. Quel viaggiare di pieno giorno mi dà ancora maggior noia. Dammi ogni giorno notizie di Adolfo. Spero bene che non sia nulla. Sta attenta anche tu di non uscire troppo con tanta influenza. Calcolo che con febbre tanto alta a quest'ora Vela stia bene. Ieri al telefono ho udita la cara voce di Letizia intanto che tu — canaglia — eri a teatro. Salutami   tutti.   Ti   abbraccio   di   cuore. Ettore. Prego gentilmente V. S. volermi cedere intonaco per«Averoff» verso dep. cauzionale in contanti e restituz. entro 10 giorni. G. V. 
651;Schmitz Livia;4;09/02/1911;1911;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA;ITA;Alla  moglie Murano,  9.2.1911 Carissima   Livia, Ricevo la cara tua dell'8. Mi dispiace che tu sii stata male a teatro. È vero che ciccai di non trovarti a casa ma non ti augurai nulla di male e spero che non crederai di dover attribuire a me i tuoi dolori di pancia. Spero che a quest'ora Vela sia perfettamente ristabilita. Qui il lavoro mi cammina benone. Mangio e dormo come se fossi in due. I tubi dell'acqua si sono spezzati oggi appena grazie alla mia buona ventura. In casa l'acqua affluisce regolarmente. Il cassone è isolato. Non avrei mai creduto che Joyce avrebbe accettato il mio invito. Hanno ragione in China ove la buona educazione impone di non accettare inviti. Del resto non mi fa affatto dispiacere. Gli prenderò a nolo una gondola perché i n. gondolieri non vanno che a due ed io non posso fare a meno di due operai. Quest'è l'ultima lettera per questa settimana. Arrivo sabato alle 11 e tanti (non ricordo l'ora precisa). Farò in modo di avere 5 cor. in tasca per il caso in cui non aveste da mandarmi la carrozza. Ma se la mandate mandatela a tempo perché l'altra volta ho pagato 1 fior, per riscattarmi da una vettura che avevo impegnata.  A ben rivederci. Tuo Ettore. Tanti baci,  cara Livia. Li dimenticavo nella penna. 
652;Schmitz Livia;5;02/03/1911;1911;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA;ITA;Alla   moglie Murano, 2 Marzo  1911 Carissima Livia, Spero che dopo la mia partenza avrai ripreso sanamente sonno. Io dormii un poco in treno ma troppo poco e passai una giornata piuttosto brutta. lersera mi coricai alle 8 e dormii fino alle sei. Gioachino procedette oltre e sarà qui e probabilmente anche a Trieste domani. Io ritorno senz'altro sabato alle 11 di notte e non ti telegrafo perché posso vedere già ora che non potrei partire alle 2. E arrivata la lignite e questi due giorni ho avuti ben pochi operai. Ti dò un  abbraccio che  vorrai   dividere   con   Titina. Tuo Ettore. 
653;Schmitz Livia;6;28/03/1911;1911;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA;ITA;Alla moglie Murano, 28.3.1911 Carissima Livia, Son via di Trieste da circa 2 giorni e non lavoro ancora da un giorno. Sarebbe stato circa lo stesso partire questa mane. Bravin è tuttavia malato, Cimutti è fuori per ritirare della merce ed ho due avventizii che vanno ora a prendere Olga che telegrafò il suo arrivo. Di casa non ho dunque nessun operaio fuori di Bortolo. Sono perciò un  po'   seccato.   Speriamo  che  tuttavia  tutto  finirà bene. Incomincio a credere che il non fumare sia molto malsano. Quando avrò incassate da Bruno le 80 cor. fumerò di nuovo e abituerò anche te e Titina a fumare. Non voglio mica star bene solo io. Ti abbraccio di cuore. Tuo Ettore. 
654;Schmitz Livia;7;29/03/1911;1911;Ettore Schmitz;Murano;Livia Veneziani;Trieste;ITA;ITA;Alla moglie Murano,  29.3.1911 Carissima Livia, Ricevetti la cara tua del 28. Di stomaco sto bene ma non quanto la mia virtù meriterebbe. Io ricordo un'epoca in cui fumavo come un turco e mangiavo come un lupo e stavo tuttavia bene. E vero che avevo 20 anni ma che c'entra questo? — Ho piacere che hai comperato un vestito nuovo. Saremo assai di nuovo quest'anno dopo la mia ultima visita a Bearzi. Ti prego di non dimenticare di comperarmi una spazzola di denti buona. Da parecchi giorni, per paura della peritiflite non mi lavo più i denti. Non vorrei che la signorina Hitti venga qui prima di domenica. Se viene venerdì mi porta via 2 gondolieri e questa settimana sono proprio in malora in fabbrica. Sto meditando nuovi tormenti per il mio arrivo giacché ti mancano. Ti abbraccio  di cuore. Tuo Ettore. 
